,epoch,ls,lu,train_loss,test_loss,train_acc,test_acc
0,0,2.3153205,0.0,2.3153205,2.3031113,0.12946428,0.0992
1,1,2.3294706,0.0,2.3294706,2.3024657,0.11160714,0.1161
2,2,2.2843652,0.0,2.2843652,2.296792,0.11160714,0.1041
3,3,2.2505133,0.0,2.2505133,2.288355,0.140625,0.1266
4,4,2.256252,0.0,2.256252,2.2777867,0.13169643,0.1127
5,5,2.2636552,0.0,2.2636552,2.2441425,0.13169643,0.1835
6,6,2.2149477,0.0,2.2149477,2.2076128,0.17857143,0.1827
7,7,2.1106257,0.0,2.1106257,2.1930876,0.21205357,0.2003
8,8,2.23413,0.0,2.23413,2.1025317,0.20758928,0.2289
9,9,2.244673,0.0,2.244673,2.1473758,0.19196428,0.2194
10,10,2.313642,0.0,2.313642,2.2186503,0.20089285,0.1855
11,11,2.1469924,0.0,2.1469924,2.149113,0.22321428,0.2093
12,12,2.0462606,0.0,2.0462606,2.0870626,0.21205357,0.217
13,13,2.0348704,0.0,2.0348704,2.0608125,0.23660715,0.2448
14,14,2.0501888,0.0,2.0501888,2.0419095,0.23660715,0.2453
15,15,1.9585474,0.0,1.9585474,2.1236656,0.23660715,0.2309
16,16,2.040238,0.0,2.040238,2.1628346,0.24107143,0.2056
17,17,2.136692,0.0,2.136692,2.049561,0.24776785,0.2542
18,18,2.0212765,0.0,2.0212765,2.0279145,0.25892857,0.2548
19,19,1.9653094,0.0,1.9653094,1.9916594,0.2544643,0.2814
20,20,1.9194757,0.0,1.9194757,1.9961696,0.26785713,0.2671
21,21,1.819691,0.0,1.819691,2.0011015,0.2611607,0.2717
22,22,1.9772818,0.0,1.9772818,2.005867,0.27901787,0.2818
23,23,1.8209674,0.0,1.8209674,2.1697538,0.29910713,0.2354
24,24,1.8580248,0.0,1.8580248,1.9595993,0.29464287,0.2903
25,25,2.1294107,0.0,2.1294107,2.0175023,0.31026787,0.2919
26,26,1.7415193,0.0,1.7415193,2.1586983,0.31473213,0.2685
27,27,1.9105184,0.0,1.9105184,2.2213628,0.3236607,0.238
28,28,2.0260158,0.0,2.0260158,2.1402247,0.3325893,0.2501
29,29,1.9509475,0.0,1.9509475,2.001443,0.32142857,0.2944
30,30,1.7161288,0.0,1.7161288,1.8993981,0.31919643,0.3095
31,31,1.6843846,0.0,1.6843846,1.9018947,0.34375,0.3082
32,32,1.6906409,8.569886e-05,1.6907266,1.9988589,0.3705357,0.3273
33,33,1.7003288,0.0,1.7003288,1.966833,0.3705357,0.3152
34,34,1.6226902,0.0,1.6226902,2.0936344,0.3794643,0.2791
35,35,1.5946891,0.0,1.5946891,1.9796168,0.35714287,0.2948
36,36,1.7523453,0.0,1.7523453,1.8587105,0.3392857,0.3377
37,37,1.675528,0.0,1.675528,1.8433211,0.36160713,0.3228
38,38,1.5346488,0.0,1.5346488,1.8394274,0.36830357,0.3477
39,39,1.7966542,0.00032415605,1.7969784,1.9159828,0.36607143,0.318
40,40,1.7507554,0.0,1.7507554,1.8823082,0.3705357,0.3271
41,41,1.5933731,6.338355e-06,1.5933794,1.944998,0.37723213,0.3303
42,42,1.6929219,0.034687787,1.7276096,1.9105133,0.41964287,0.3368
43,43,1.6330367,0.00429251,1.6373292,1.8540584,0.44419643,0.3555
44,44,1.6518793,0.007979409,1.6598587,1.8167754,0.38392857,0.3501
45,45,1.4389315,0.0,1.4389315,1.9033824,0.41517857,0.3217
46,46,1.6212895,0.0,1.6212895,1.9165235,0.4017857,0.3132
47,47,1.7140954,0.011119421,1.7252147,2.0323427,0.42857143,0.2923
